,Unnamed: 0,amr,Min_dist,text
18,18,"(h / have-org-role-91
   :ARG3 (p2 / person
             :mod (m / man
                     :ARG1-of (s2 / see-01
                                  :ARG0 (p4 / person
                                            :name (n3 / name
                                                      :op1 ""God""))
                                  :ARG1-of (o / obligate-01))
                     :ARG0-of (s / say-01
                                 :ARG3 (p / person
                                          :name (n / name
                                                   :op1 ""Putin"")))
                     :polarity -)
             :name (n2 / name
                       :op1 ""Pope""
                       :op2 ""Francis""))
   :ARG3 (p3 / pope))",0.7305787825204298,Pope Francis is not the man that God must see and say to Putin.
19,19,"(h / have-rel-role-91
   :ARG0 (p1 / person-01
             :mod (m / male))
   :ARG1 (g1 / girlfriend-01
             :ARG1-of (d / decapitate-01
                         :ARG1-of (c3 / cause-01
                                      :ARG0 (a1 / accompany-01
                                                :ARG0 g1
                                                :ARG1 p1
                                                :manner (o / or
                                                           :op1 (p2 / person
                                                                    :polarity -
                                                                    :ARG1 g1
                                                                    :ARG2 (p3 / parent)))
                                                :op2 (p4 / person
                                                         :ARG0-of (g2 / guard-01))))
                         :ARG3 (c / country
                                  :name (n / name
                                           :op1 ""Saudi""
                                           :op2 ""Arabia"")))
             :quant 6
             :mod (c1 / civilise-01))
   :ARG2 (f / friend)
   :ARG0 p2)",0.5213888455882174,A male has six civilised friends in Saudi Arabia who have been decapitated by being with them without parents or guardians.
20,20,"(g2 / guard-01
    :ARG0 (p4 / person
              :op2-of (a1 / accompany-01
                          :ARG0-of (g / grounds-01)
                          :ARG0 (g1 / girl-01
                                    :ARG1-of (d / decapitate-01
                                                :ARG1-of g
                                                :ARG0 (c / country
                                                         :name (n / name
                                                                  :op1 ""Saudi""
                                                                  :op2 ""Arabia"")))
                                    :quant 6
                                    :mod (s1 / school-01))
                          :ARG1 (s / someone-01
                                   :ARG0-of (h / have-rel-role-91
                                               :ARG1 g1
                                               :ARG2 (s2 / supporter-01))
                                   :mod (M / Male-01))
                          :manner (o / or
                                     :op1 (p2 / person
                                              :ARG0-of h
                                              :polarity -
                                              :ARG1 g1
                                              :ARG2 (p3 / parent))))))",0.4200130174365333,Six schoolgirls decapitated by Saudi Arabia are guarded by groundsmen without their parents as a Male supporter.
21,21,"(d / decapitate-01
   :ARG4 (c / country
            :name (n / name
                     :op1 ""Saudi""
                     :op2 ""Arabia""))
   :ARG0 (g / girl
            :quant 6
            :mod (s / school))
   :ARG2-of (c2 / cause-01
                :ARG3 (a / accompany-01
                         :ARG2 g
                         :ARG3 (p / person
                                  :ARG0-of (h / have-rel-role-91
                                              :ARG4 g
                                              :ARG0 (f / friend))
                                  :mod (m / male))
                         :manner (o / or
                                    :op1 (p2 / person
                                             :ARG2-of h
                                             :polarity -
                                             :ARG3 g
                                             :ARG4 (p3 / parent)))
                         :op2 (p4 / person
                                  :ARG0-of (g2 / guard-01)))))",0.452631228741437,"Six school girls were decapitated in Saudi Arabia, without their parents or guardians, with a male friend."
22,22,"(f1 / flaming-01
    :ARG1 (p / person
             :name (n / name
                      :op1 ""Malia""
                      :op2 ""Obama""))
    :source (ii / internship
                :mod p
                :name (n2 / name
                          :op1 ""Cushy""))
    :location (e / embassy
                 :mod (c / country
                         :name (n3 / name
                                   :op1 ""Spain""))))",0.7421531435650799,Mali Obama was flaming from her Chusy internship at the Spanish Embassy.
23,23,"(f / fire-02
   :ARG4 (p / person
            :name (n / name
                     :op1 ""Malia""
                     :op2 ""Obama""))
   :ARG0 (ii / internship
             :mod p
             :name (n2 / name
                       :op1 ""Cushy""))
   :location (e / embassy
                :mod (c / country
                        :name (n3 / name
                                  :op1 ""Spain""))))",0.8340719622442848,"-Malia Obama fired from her internship at the Spanish Embassy for ""Cushy""."
24,24,"(f / fire-02
   :ARG3 (p / person
            :name (n / name
                     :op1 ""Malia""
                     :op2 ""Obama""))
   :ARG0 (ii / internship
             :mod p
             :name (n2 / name
                       :op1 ""Cushy""))
   :location (e / embassy
                :mod (c / country
                        :name (n3 / name
                                  :op1 ""Spain""))))",0.8340719622442848,-Malia Obama fired from her Bushy internship at the Spanish Embassy.
25,25,"(f1 / fire-01
    :ARG1 (p1 / person-01
              :name (n / name
                       :op1 ""Malia""
                       :op2 ""Obama""))
    :source (i / internship-01
               :mod p1
               :name (n2 / name
                         :op1 ""Cushy""))
    :location (e / embassy
                 :mod (c / country
                         :name (n3 / name
                                   :op1 ""Spain""))))",0.4173795144660814,Malia Obama was fired from her Bushy internship at the Spanish Embassy.
26,26,"(g / give_the_axe-01
   :ARG1 (p1 / person-01
             :name (n / name
                      :op1 ""Malia""
                      :op2 ""Obama""))
   :source (i / internship-01
              :mod p1
              :name (n2 / name
                        :op1 ""Cushy""))
   :location (e / embassy
                :mod (c / country
                        :name (n3 / name
                                  :op1 ""Spain""))))",0.4173795144660814,"a href=""http://www.politico.com/news/malia-obama-gives-the-axe"">Malia Obama Gives The Axe From Her Bushy Internship At The Spanish Embassy/a>"
27,27,"(t / target-01
   :ARG1 (d / discontinue-01
            :ARG4 (s / sell-01
                     :ARG2 (b / book
                              :name (n / name
                                       :op1 ""Holy""
                                       :op2 ""Bible"")))))",0.6406049373116735,The target is discontinuing sales of the Holy Bible.
28,29,"(d1 / direct-01
    :ARG1 (b1 / break_off-01
              :ARG1 (s / sell-01
                       :ARG1 (b / book
                                :name (n / name
                                         :op1 ""Holy""
                                         :op2 ""Bible"")))))",0.6558096117141085,Directed to break off sales of the Holy Bible.
29,30,"(m / mark-01
   :ARG1 (d / discontinue-01
            :ARG1 (s / sell-01
                     :ARG1 (b / book
                              :name (n / name
                                       :op1 ""Holy""
                                       :op2 ""Bible"")))))",0.8282451013066936,The discontinuation of sales of the Holy Bible is marked.
30,31,"(p / point-01
   :ARG1 (l / lay_off-01
            :ARG1 (s / sell-01
                     :ARG1 (b / book
                              :name (n / name
                                       :op1 ""Holy""
                                       :op2 ""Bible"")))))",0.6558096117141085,The point was to lay off sales of the Holy Bible.
31,32,"(s2 / sick-05
    :ARG1 (t / tweet-01
             :ARG2 (p / person
                      :name (n / name
                               :op1 ""Barack""
                               :op2 ""Obama""))
             :ARG1 (s / say-01
                      :ARG0 p
                      :ARG1 (r / recommend-01
                               :ARG1 (d / die-01
                                        :ARG1 (p2 / person
                                                  :name (n2 / name
                                                            :op1 ""John""
                                                            :op2 ""McCain"")))))))",0.9201556096500992,"SICK of Obama tweeting that he should have died, John McCain."
32,33,"(t1 / twinge-01
    :ARG0 (s1 / soul-01
              :name (n / name
                       :op1 ""Barack""
                       :op2 ""Obama""))
    :ARG1 (s / say-01
             :ARG0 s1
             :ARG1 (r / recommend-01
                      :ARG1 (d / die-01
                               :ARG1 (p2 / person
                                         :name (n2 / name
                                                   :op1 ""John""
                                                   :op2 ""McCain"")))))
    :ARG1-of (s2 / sick-05))",0.5816479801753698,"Barack Obama's soul twinges sickly with ""John McCain should die."""
33,34,"(t / tweet-01
   :ARG2 (p / person
            :name (n / name
                     :op1 ""Barack""
                     :op2 ""Obama""))
   :ARG1 (s / say-01
            :ARG0 p
            :ARG2 (r / recommend-01
                     :ARG4 (d / die-01
                              :ARG3 (p2 / person
                                        :name (n2 / name
                                                  :op1 ""John""
                                                  :op2 ""McCain"")))))
   :ARG1-of (s2 / sick-05))",0.7176146822017642,"Obama tweeted sickly saying ""John McCain should die""..."
35,36,"(t1 / twinge-01
    :ARG0 (p / person
             :name (n / name
                      :op1 ""Barack""
                      :op2 ""Obama""))
    :ARG1 (s / say-01
             :ARG0 p
             :ARG1 (r / recommend-01
                      :ARG1 (d / die-01
                               :ARG1 (p2 / person
                                         :name (n2 / name
                                                   :op1 ""John""
                                                   :op2 ""McCain"")))))
    :ARG1-of (s2 / sick-05))",0.7566402382186976,"Barack Obama is sickly twinging with a ""John McCain should die"" statement."
36,37,"(u1 / underline-01
    :ARG1 (s / soul-01
             :name (n / name
                      :op1 ""Trump"")
             :ARG3-of (h / have-org-role-91
                         :ARG4 (p2 / president)))
    :ARG2 (r / relation-03
             :ARG0 (c / country
                      :name (n2 / name
                                :op1 ""US""))
             :ARG0 (c2 / country
                       :name (n3 / name
                                 :op1 ""Jamaica""))))",0.5173347458568494,President Trump's soul underlines US-Jamaica relations.
37,38,"(h / have-org-role-91
   :ARG0 (p / person
            :ARG0-of (u / underscoring-01
                        :ARG0 (r / relation-03
                                 :ARG0 (c / country
                                          :name (n2 / name
                                                    :op1 ""US""))
                                 :ARG1 (c2 / country
                                           :name (n3 / name
                                                     :op1 ""Jamaica""))))
            :name (n / name
                     :op1 ""Trump""))
   :ARG2 (p2 / president))",0.82034995900093,Trump is the president underscoring the US-Jamaica relationship.
38,39,"(h / have-org-role-91
   :ARG3 (p / person
            :ARG3-of (u / underscoring-01
                        :ARG1 (r / relation-03
                                 :ARG4 (c / country
                                          :name (n2 / name
                                                    :op1 ""US""))
                                 :ARG2 (c2 / country
                                           :name (n3 / name
                                                     :op1 ""Jamaica""))))
            :name (n / name
                     :op1 ""Trump""))
   :ARG1 (p2 / president))",0.7163037631774017,Trump is the president underscoring the relationship between the US and Jamaica.
39,40,"(u / underscoring-01
   :ARG2 (p / person
            :name (n / name
                     :op1 ""Trump"")
            :ARG2-of (h / have-org-role-91
                        :ARG2 (p2 / president)))
   :ARG1 (r / relation-03
            :ARG0 (c / country
                     :name (n2 / name
                               :op1 ""US""))
            :ARG2 (c2 / country
                      :name (n3 / name
                                :op1 ""Jamaica""))))",0.8644921802017226,President Trump is underscoring US-Jamaica relations.
40,41,"(m / multi-sentence
   :snt1 (s / somebody-01
            :name (n / name
                     :op1 ""Sandra""
                     :op2 ""Bullock"")
            :ARG0-of (h / have-org-role-91
                        :ARG2 (a1 / actress-01)))
   :snt2 (i / individual-01
            :name (n2 / name
                      :op1 ""Hillary""
                      :op2 ""Clinton""))
   :snt3 (p / possible-01
            :ARG1 (a2 / and
                      :op1 (l1 / leave-taking-01
                               :ARG0 (y / you))
                      :op2 (c1 / come-01
                               :polarity -
                               :ARG1 y
                               :ARG4 (b1 / backward-01)
                               :mod (o / once_again-01)
                               :time (e1 / ever-01))))
   :snt4 (f / fair_sex-01
            :mod (e / envious-01)
            :domain (y2 / you)
            :ARG0-of (c2 / compare-01
                         :ARG1 (n3 / nothing)
                         :ARG2 (p4 / person
                                   :name (n4 / name
                                             :op1 ""Trump""))))
   :snt5 (h2 / hope-01
             :ARG0 (ii / i)
             :ARG1 (a4 / arrest-01
                       :ARG0 (h3 / he)
                       :ARG1 (p5 / person
                                 :name (n5 / name
                                           :op1 ""Y"")))))",0.5633692521631456,"somebody named Sandra Bullock, actress. Hillary Clinton. You can leave taking and never coming backwards again. You are an envious fair sex who compares nothing to Trump. I hope he arrests Y."
41,42,"(m / multi-sentence
   :snt1 (m1 / mortal-01
             :name (n / name
                      :op1 ""Sandra""
                      :op2 ""Bullock"")
             :ARG0-of (h / have-org-role-91
                         :ARG2 (a1 / actress-01)))
   :snt2 (p / person-01
            :name (n2 / name
                      :op1 ""Hillary""
                      :op2 ""Clinton""))
   :snt3 (p1 / possible-01
             :ARG1 (a2 / and
                       :op1 (l / leave-11
                               :ARG0 (y / you))
                       :op2 (c / come-01
                               :polarity -
                               :ARG1 y
                               :ARG4 (b / back)
                               :mod (a3 / again)
                               :time (e / ever))))
   :snt4 (w / woman
            :mod (j / jealous)
            :domain (y2 / you)
            :ARG0-of (c2 / compare-01
                         :ARG1 (n3 / nothing)
                         :ARG2 (p4 / person
                                   :name (n4 / name
                                             :op1 ""Trump""))))
   :snt5 (h2 / hope-01
             :ARG0 (ii / i)
             :ARG1 (a4 / arrest-01
                       :ARG0 (h3 / he)
                       :ARG1 (p5 / person
                                 :name (n5 / name
                                           :op1 ""Y"")))))",0.8266802683444744,Sandra Bullock is an actress mortal * Hillary Clinton * You can leave and never come back again * You are a jealous woman who compares nothing to Trump * I hope he arrests Y.
42,43,"(c2 / compare-01
    :ARG0 (w / woman
             :ARG2-of (m / multi-sentence
                         :snt5 (h2 / hope-01
                                   :ARG0 (ii / i)
                                   :ARG1 (a4 / arrest-01
                                             :ARG0 (h3 / he)
                                             :ARG1 (p5 / person
                                                       :name (n5 / name
                                                                 :op1 ""Y""))))
                         :ARG4 (p / person
                                  :name (n / name
                                           :op1 ""Sandra""
                                           :op2 ""Bullock"")
                                  :ARG4-of (h / have-org-role-91
                                              :ARG2 (a / actress)))
                         :ARG1 (p2 / person
                                   :name (n2 / name
                                             :op1 ""Hillary""
                                             :op2 ""Clinton""))
                         :ARG0 (p3 / possible-01
                                   :ARG0 (a2 / and
                                             :op1 (l / leave-11
                                                     :ARG3 (y / you))
                                             :op2 (c / come-01
                                                     :polarity -
                                                     :ARG4 y
                                                     :ARG3 (b / back)
                                                     :mod (a3 / again)
                                                     :time (e / ever)))))
             :mod (j / jealous)
             :domain (y2 / you))
    :ARG2 (n3 / nothing)
    :ARG2 (p4 / person
              :name (n4 / name
                        :op1 ""Trump"")))",0.7552602897093057,"You are nothing compared to Trump, the jealous woman (I hope he arrests Y) and the actress Sandra Bullock, who is Hillary Clinton's ""You can't leave and never come back"""
43,44,"(m / multi-sentence
   :ARG2 (p / person
            :name (n / name
                     :op1 ""Sandra""
                     :op2 ""Bullock"")
            :ARG0-of (h / have-org-role-91
                        :ARG2 (a / actress)))
   :snt2 (p2 / person
             :name (n2 / name
                       :op1 ""Hillary""
                       :op2 ""Clinton""))
   :snt3 (p3 / possible-01
             :ARG1 (a2 / and
                       :op1 (l / leave-11
                               :ARG0 (y / you))
                       :op2 (c / come-01
                               :polarity -
                               :ARG1 y
                               :ARG4 (b / back)
                               :mod (a3 / again)
                               :time (e / ever))))
   :snt4 (w / woman
            :mod (j / jealous)
            :domain (y2 / you)
            :ARG0-of (c2 / compare-01
                         :ARG1 (n3 / nothing)
                         :ARG2 (p4 / person
                                   :name (n4 / name
                                             :op1 ""Trump""))))
   :snt5 (h2 / hope-01
             :ARG0 (ii / i)
             :ARG1 (a4 / arrest-01
                       :ARG0 (h3 / he)
                       :ARG1 (p5 / person
                                 :name (n5 / name
                                           :op1 ""Y"")))))",0.9783078473010411,Sandra Bullock is an actress. Hillary Clinton. You can leave and never come back. You are a jealous woman who compares nothing to Trump. I hope he arrests Y.
44,45,"(p / person
   :name (n / name
            :op1 ""Gretchen""
            :op2 ""Carlson"")
   :ARG0-of (w / write-01
               :ARG1 (l / law
                        :name (n2 / name
                                  :op1 ""2nd""
                                  :op2 ""Amendment""))
               :time (b / before
                        :op1 (ii / invent-01
                                 :ARG1 (g / gun)))))",1.0,Gretchen Carlson wrote the 2nd Amendment before guns were invented.
45,46,"(m / mortal-01
   :name (n / name
            :op1 ""Gretchen""
            :op2 ""Carlson"")
   :ARG0-of (w / write-01
               :ARG1 (l / law
                        :name (n2 / name
                                  :op1 ""2nd""
                                  :op2 ""Amendment""))
               :time (b / before
                        :op1 (ii / invent-01
                                 :ARG1 (g / gun)))))",0.7744467065544739,Gretchen Carlson was a mortal who wrote the 2nd Amendment before guns were invented.
47,48,"(w1 / write-01
    :ARG2 (s / soul-01
             :name (n / name
                      :op1 ""Gretchen""
                      :op2 ""Carlson""))
    :ARG4 (l1 / law-01
              :name (n2 / name
                        :op1 ""2nd""
                        :op2 ""Amendment""))
    :time (b / before
             :op1 (ii / invent-01
                      :ARG1 (g / gun))))",0.5053598632828429,Gretchen Carlson was the soul of the 2nd Amendment before guns were invented.
48,49,"(i / individual-01
   :name (n / name
            :op1 ""Gretchen""
            :op2 ""Carlson"")
   :ARG0-of (w / write-01
               :ARG1 (l / law
                        :name (n2 / name
                                  :op1 ""2nd""
                                  :op2 ""Amendment""))
               :time (b / before
                        :op1 (ii / invent-01
                                 :ARG1 (g / gun)))))",0.7744467065544739,Gretchen Carlson was an individual who wrote the 2nd Amendment before guns were invented.
49,50,"(p1 / person-01
    :name (n / name
             :op1 ""Pope""
             :op2 ""Francis"")
    :ARG0-of (h / have-org-role-91
                :ARG2 (B / Bishop_of_Rome-01)
                :ARG0 p1)
    :ARG2 B
    :location (m1 / muckle-01)
    :ARG1-of (m / mean-01
                :polarity -
                :ARG2 (l / literal
                         :domain (p3 / person
                                     :name (n2 / name
                                               :op1 ""Jesus"")))))",0.4309799397669342,"Pope Francis is a muckled B, not a literal meaning of Jesus."
50,51,"(m2 / mean-01
    :ARG1 (p / person
             :name (n / name
                      :op1 ""Pope""
                      :op2 ""Francis"")
             :ARG1-of (h / have-org-role-91
                         :ARG3 (p2 / pope)
                         :ARG4 p)
             :ARG1 p2
             :location (m / mass))
    :polarity -
    :ARG2 (l / literal
             :domain (p3 / person
                         :name (n2 / name
                                   :op1 ""Jesus""))))",0.7070132447864601,Pope Francis in the Mass does not mean Jesus is literal.
51,52,"(p / person
   :name (n / name
            :op1 ""Pope""
            :op2 ""Francis"")
   :ARG1-of (h / have-org-role-91
               :ARG1 (p2 / pope)
               :ARG4 p)
   :ARG3 p2
   :location (m / mass)
   :ARG1-of (m2 / mean-01
                :polarity -
                :ARG2 (l / literal
                         :domain (p3 / person
                                     :name (n2 / name
                                               :op1 ""Jesus"")))))",0.7070132447864601,"Pope Francis is the Pope in the Mass, Jesus is not literal."
52,53,"(i / individual-01
   :name (n / name
            :op1 ""Pope""
            :op2 ""Francis"")
   :ARG0-of (h / have-org-role-91
               :ARG2 (p2 / pope)
               :ARG0 i)
   :ARG2 p2
   :location (m / mass)
   :ARG1-of (m2 / mean-01
                :polarity -
                :ARG2 (l / literal
                         :domain (p3 / person
                                     :name (n2 / name
                                               :op1 ""Jesus"")))))",0.479199131513646,"Pope Francis is the individual Pope in the mass, not that Jesus is literal."
54,55,"(s2 / shady-01
    :ARG1 (m / mortal-01
             :ARG0-of (a / arsonize-01
                         :location (c / country
                                      :name (n2 / name
                                                :op1 ""Wine"")))
             :ARG1-of (s1 / stay-01
                          :ARG1-of (c1 / come_out-01
                                       :location (j / jail
                                                    :location (c2 / city
                                                                  :name (n3 / name
                                                                            :op1 ""Sonoma""))))
                          :ARG0 (g / government-organization
                                   :name (n / name
                                            :op1 ""ICE"")))))",0.6126427198485415,The mortals who arsonized in wine who stayed with the ICE coming out of the Sonoma jail were shady.
55,56,"(ii / issue-01
    :ARG2 (d / detain-01
             :ARG0 (g / government-organization
                      :name (n / name
                               :op1 ""ICE""))
             :ARG2 (p / person
                      :ARG4-of (s / suspect-01)
                      :ARG0-of (a / arsonize-01
                                  :location (c / country
                                               :name (n2 / name
                                                         :op1 ""Wine"")))))
    :location (j / jail
                 :location (c2 / city
                               :name (n3 / name
                                         :op1 ""Sonoma""))))",0.8478679417674487,ICE detained suspected wine arsonists at a Sonoma jail.
56,57,"(s / suspect-01
   :ARG2 (p / person
            :ARG4-of (a / arsonize-01
                        :location (c / country
                                     :name (n2 / name
                                               :op1 ""Wine"")))
            :ARG2-of (d1 / detain-01
                         :ARG0-of (i / issue-01
                                     :location (j / jail
                                                  :location (c2 / city
                                                                :name (n3 / name
                                                                          :op1 ""Sonoma""))))
                         :ARG2 (g / government-organization
                                  :name (n / name
                                           :op1 ""ICE"")))))",0.7530204112251925,"The suspects are suspected of arsonists in Wine, detained by ICE issued from the Sonoma jail."
57,58,"(a / arsonize-01
   :ARG0 (s1 / someone-01
             :ARG1-of (d1 / delay-01
                          :ARG1-of (i / issue-01
                                      :location (c1 / clink-01
                                                    :location (c2 / city
                                                                  :name (n3 / name
                                                                            :op1 ""Sonoma""))))
                          :ARG1 (g / government-organization
                                   :name (n / name
                                            :op1 ""ICE"")))
             :ARG1-of (s2 / shady-01))
   :location (c / country
                :name (n2 / name
                          :op1 ""Wine"")))",0.5434011211811239,"In wine, someone shady, delayed and delayed by ICE issues at the Sonoma clink."
58,59,"(ii / issue-01
    :ARG4 (d / detain-01
             :ARG3 (g / government-organization
                      :name (n / name
                               :op1 ""ICE""))
             :ARG1 (p / person
                      :ARG1-of (s / suspect-01)
                      :ARG0-of (a / arsonize-01
                                  :location (c / country
                                               :name (n2 / name
                                                         :op1 ""Wine"")))))
    :location (j / jail
                 :location (c2 / city
                               :name (n3 / name
                                         :op1 ""Sonoma""))))",0.8280118102598315,The ICE detention of suspected arsonists in wine was issued at the Sonoma jail.
59,60,"(w / walk-01
   :ARG0 (p / person
            :ARG0-of (h / have-org-role-91
                        :ARG2 (p2 / president))
            :time (f / former))
   :ARG3 (l / line
            :ARG3-of (f2 / fine-03))
   :location (c / country
                :name (n / name
                         :op1 ""America"")
                :poss (p3 / person
                          :name (n2 / name
                                    :op1 ""Trump""))))",0.9416081065461874,"In Trump's America, the former president walked a fine line."
60,61,"(f / fine-01
   :ARG1 (c2 / cable-01
             :ARG1-of (w1 / walk-01
                          :location (c / country
                                       :name (n / name
                                                :op1 ""America"")
                                       :poss (p3 / person
                                                 :name (n2 / name
                                                           :op1 ""Trump"")))
                          :ARG0 (s / someone-01
                                   :ARG0-of (h / have-org-role-91
                                               :ARG2 (c1 / chairman-01))
                                   :time (f1 / former-01)))))",0.6015703532476698,Cable that someone formerly chairman walked into Trump's America was fined.
61,62,"(h / have-org-role-91
   :ARG0 (s / someone-01
            :time (f1 / former-01)
            :ARG1-of (w1 / walk-01
                         :ARG1 (c2 / credit_line-01
                                   :ARG1-of (f2 / fine-03))
                         :location (c / country
                                      :name (n / name
                                               :op1 ""America"")
                                      :poss (p3 / person
                                                :name (n2 / name
                                                          :op1 ""Trump"")))))
   :ARG2 (c1 / chairwoman-01))",0.6261498526628482,A former chairwoman who walked the fine credit line in Trump's America.
62,63,"(w1 / walk-01
    :ARG0 (s / someone-01
             :ARG0-of (h / have-org-role-91
                         :ARG2 (c1 / chair-01))
             :time (f / former))
    :ARG1 (l / line
             :ARG1-of (f2 / fine-03))
    :location (c / country
                 :name (n / name
                          :op1 ""America"")
                 :poss (p3 / person
                           :name (n2 / name
                                     :op1 ""Trump""))))",0.7371215795629806,"In Trump's America, someone a former chair walks the fine line."
63,64,"(d / die-01
   :ARG3 (b2 / body
             :location (c / classroom)
             :op1-of (a / and
                        :op2 (k / kid
                                :ARG1-of (f / full-09
                                            :ARG2 (b3 / blood)))
                        :ARG2-of (l / leave-13
                                    :ARG4 (t / terror
                                             :duration (t2 / temporal-quantity
                                                           :quant 60
                                                           :ARG1 (m / minute))
                                             :location (ii / inside
                                                           :op1 (b / bloodbath
                                                                   :mod (p / publication
                                                                           :name (n / name
                                                                                    :op1 "" Snapchat"")))))))
             :quant 17))",0.7231076626117027,"17 dead bodies in classrooms, bloody kids left in 60-minute terror inside Snapchat bloodbath"
